"city","data_source","Var_p","Var_W"
"Hong Kong","mswep-v2-8",80980.351095296,83366.7146483615
"Hong Kong","terraclimate",111045.414962579,105588.882715222
"Houston","era5-land",48306.0135458774,33917.09952537
"Houston","gleam-v4-1a",NA,39548.6058454545
"Houston","mswep-v2-8",54846.3114701903,34350.2277836681
"Houston","terraclimate",58706.3971041755,23250.8116893763
"Huaian","era5-land",52917.8178976744,54515.3766183932
"Huaian","gleam-v4-1a",NA,31527.9935570825
"Huaian","mswep-v2-8",34856.2465561839,47909.7270415962
"Huaian","terraclimate",22727.7718830867,10186.7823041755
"Hyderabad","era5-land",35127.2549045983,23919.406318129
"Hyderabad","gleam-v4-1a",NA,23128.4132614693
"Hyderabad","mswep-v2-8",31656.0161539112,23977.6618758985
"Hyderabad","terraclimate",31258.981120666,15364.5429501057
"Ibadan","era5-land",33360.63974926,27904.6791925476
"Ibadan","gleam-v4-1a",NA,45198.7029477801
"Ibadan","mswep-v2-8",22986.5373777484,26212.9590276427
"Ibadan","terraclimate",40158.5168830867,33348.9756936047
"Indore","era5-land",91373.6280579281,79734.2991959302
"Indore","gleam-v4-1a",NA,58380.7820293869
"Indore","mswep-v2-8",67006.5961837209,61323.8505044397
"Indore","terraclimate",62928.6501864693,60001.1324139535
"Islamabad","era5-land",51495.9822794926,29169.3275942918
"Islamabad","gleam-v4-1a",NA,41740.873748573
"Islamabad","mswep-v2-8",33955.6928021142,43956.4965291755
"Islamabad","terraclimate",34221.4450018499,18006.6094322939
"Istanbul","era5-land",12820.1345393235,11531.0817156448
"Istanbul","gleam-v4-1a",NA,18929.3322090381
"Istanbul","mswep-v2-8",13932.3083646406,15520.7323372093
"Istanbul","terraclimate",16816.3685249471,11799.9620065011
"Izmir","era5-land",20845.3229925476,15979.6202803383
"Izmir","gleam-v4-1a",NA,17444.0871354651
"Izmir","mswep-v2-8",25076.6353209302,18942.2725509514
"Izmir","terraclimate",24481.9153933932,16294.225844556
"Jaipur","era5-land",20345.1938224101,13817.7798255285
"Jaipur","gleam-v4-1a",NA,14876.0352389006
"Jaipur","mswep-v2-8",25982.3484604651,19204.6697038055
"Jaipur","terraclimate",18955.850059408,4369.26877378435
"Jakarta","era5-land",171908.832170137,148359.80514926
"Jakarta","gleam-v4-1a",NA,103805.580278806
"Jakarta","mswep-v2-8",112119.503064852,121520.062290222
"Jakarta","terraclimate",96320.6305227801,57261.5958919662
"Jeddah","era5-land",1960.2865904334,3261.68608091966
